# Encore clue bank — the LONG half. WORD|clue, one per line.
#
# Encore is the 9x9 weekday / 11x11 Sunday crossword, so it needs entry lengths
# the mini never used. This file carries 6, 8 and 9 letters; the 3, 4, 5 and 7
# letter entries come from scripts/emcee-wordbank.txt, which the generator reads
# alongside this one. Same hard rule as that file: EVERY CLUE IS HAND-WRITTEN
# AND CLUES ITS OWN ANSWER. Never generate a clue from a dictionary or WordNet
# gloss — a gloss defines a whole synonym set, so it reliably clues the wrong
# word, which is exactly the failure that forced the Emcee bank rebuild in
# August 2026. Everyday words only: no obscurities, no crosswordese.
#
# ── 6 letters ──────────────────────────────────────────────────────────────
ABSURD|Plainly ridiculous
SAFELY|Without a scratch
SAILED|Set off across the water
SAILOR|Deck hand
SALARY|Monthly pay
SALMON|Pink fish
SALOON|Western bar
SALUTE|Hand to the brow
SAMPLE|Free taste
SANDAL|Summer shoe
SATURN|Ringed planet
SAUCER|What the cup sits on
SAVAGE|Fierce
SAVING|Putting it by
SAVIOR|The one who rescues
SAYING|Old proverb
SCALES|Bathroom weigher, or fish coat
SCARCE|Hard to come by
SCARED|Frightened
SCENIC|The pretty route
SCHEME|Plan, often shady
SCHOOL|Where the lessons are
SCORCH|Burn the shirt with the iron
SCORER|The one who nets it
SCOUTS|Camp badge earners
SCRAPE|Graze the knee
SCREAM|Horror movie sound
SCREEN|What you watch it on
SCREWS|Driver's targets
SCRIPT|The actor's lines
SCROLL|Roll of parchment
SCULPT|Shape the clay
SEALED|Shut tight
SEARCH|Look high and low
SEASON|Spring, for one
SECOND|Runner-up
SECRET|Don't tell
SECTOR|Slice of the economy
SECURE|Locked down
SEEING|Believing, they say
SEEKER|One who looks
SELDOM|Not often
SELECT|Pick out
SELLER|The one with the goods
SENATE|Upper chamber
SENDER|Return address name
SENIOR|Twelfth grader
SENSED|Felt it coming
SEPTIC|Kind of tank
SEQUEL|The follow-up film
SERENE|Perfectly calm
SERIAL|Weekly episode, or a number
SERIES|The whole run of episodes
SERMON|Sunday message
SERVED|Waited on
SERVER|Waiter, or a computer
SESAME|Bun seed, or open
SETTLE|Come to terms
SEVENS|Lucky numbers
SEVERE|Very bad indeed
SEWAGE|What the drains carry
SEWING|Needle work
SHABBY|Worn and tired
SHADOW|What follows you in the sun
SHAKEN|Not stirred
SHAPES|Circles and squares
SHARED|Split between you
SHEARS|Garden clippers
SHEETS|Bed linen
SHELLS|Beach finds
SHERRY|Fortified wine
SHIELD|Knight's guard
SHIFTS|Work stints
SHIVER|Cold tremble
SHOULD|Ought to
SHOVEL|Snow clearer
SHOWER|Morning wash
SHRIMP|Cocktail crustacean
SHRINK|Get smaller
SHRUGS|Lifts the shoulders
SIGHED|Let out a long breath
SIGNAL|Traffic light, or a wave
SIGNED|Put your name to it
SILENT|Not a peep
SILVER|Second-place metal
SIMPLE|No trouble at all
SINGER|The one at the mic
SINGLE|Just one, or a hit record
SISTER|Brother's sibling
SITTER|Evening childminder
SIXTHS|Fractions with a six below
SIZZLE|Steak sound
SKATER|Rink glider
SKETCH|Quick pencil drawing
SKIING|Downhill sport
SKINNY|Thin, or the inside story
SLALOM|Zigzag ski race
SLEEVE|Arm of the shirt
SLEIGH|Runner-borne winter ride
SLICED|Cut into pieces
SLIDER|Small burger
SLIGHT|Very small, or a snub
SLOGAN|Advertising line
SLOWLY|Take your time
SLUDGE|Thick muck
SMOOTH|Like glass
SNACKS|Between-meal bites
SNAKES|Ladders' partners
SNAPPY|Quick about it
SNIFFS|Takes a quick smell
SOAKED|Wet through
SOCCER|The world's game
SOCIAL|Of company and parties
SOCKET|Where the bulb goes
SODIUM|Salt's metal
SOFTEN|Take the edge off
SOLEMN|Very serious indeed
SOLVED|Case closed
SOMBER|Grave in mood
SONNET|Fourteen-line poem
SOOTHE|Calm down
SORROW|Deep sadness
SOUGHT|Looked for
SOUNDS|Noises
SOURCE|Where it came from
SPADES|Card suit, or digging tools
SPARKS|Fire's first flecks
SPARSE|Thin on the ground
SPEECH|What the best man gives
SPEEDS|Goes too fast
SPHERE|Ball shape
SPICES|Rack in the kitchen
SPIDER|Web spinner
SPIKES|Track shoes
SPINAL|Of the backbone
SPIRAL|Staircase shape
SPIRIT|The soul of it
SPLASH|Cannonball result
SPLINT|Broken finger support
SPOKEN|Said aloud
SPONGE|Bath scrubber
SPOOKY|Ghost-story eerie
SPORTS|Games section
SPOTTY|Uneven
SPRAIN|Twisted ankle
SPRAYS|Mists it on
SPREAD|Butter, or lay out
SPRING|The season after winter
SPRINT|All-out dash
SPRUCE|Christmas tree, or tidy up
SQUARE|Four equal sides
SQUASH|Racquet sport, or a gourd
SQUEAK|Mouse sound
SQUIRM|Wriggle uncomfortably
STABLE|Steady, or the horse's home
STACKS|Piles
STAGES|Steps of the process
STAIRS|Up to the second floor
STAKES|What is on the table
STALLS|Market booths, or the engine dies
STANCE|How you stand on it
STANDS|Bleachers
STAPLE|Paper fastener
STARCH|Potato's main stuff
STARED|Looked far too long
STARTS|Gets going
STARVE|Go without food
STATES|Fifty of them
STATIC|Radio hiss
STATUE|Bronze figure on a plinth
STATUS|Where things stand
STAYED|Did not leave
STEADY|Not wobbling
STEAKS|Grill cuts
STEALS|Takes what is not his
STENCH|Awful smell
STEREO|Two-speaker sound
STICKY|Like syrup
STIGMA|The shame attached
STITCH|A single pass of the needle
STOLEN|Taken
STONES|Rocks
STORES|Shops
STORMS|Thunder and lightning
STOVES|Kitchen cookers
STRAIN|Pull a muscle, or filter
STRAND|Hair, or leave stuck
STRAPS|Backpack shoulder bands
STRAWS|Sipping tubes
STREAK|Winning run
STREAM|Small creek
STREET|Where you live
STRESS|What the deadline brings
STRICT|Allowing no slack
STRIDE|Long step
STRIKE|Bowling perfect, or a walkout
STRING|Bit of twine
STRIPE|Band of color
STROKE|Swimmer's style
STRONG|Powerful
STRUCK|Hit
STUDIO|Where the album is recorded
STUFFY|Needing a window open
STUPID|Not clever at all
STURDY|Built to take it
SUBTLE|Not obvious
SUBURB|Outside the city proper
SUDDEN|All at once
SUFFER|Go through it
SUGARY|Very sweet
SUMMER|Beach season
SUMMIT|The top, or a big meeting
SUNDAY|Day of rest
SUNSET|End-of-day sky
SUPERB|Absolutely first rate
SUPPER|Evening meal
SUPPLY|What meets demand
SURELY|Without a doubt
SURVEY|Questionnaire
SWITCH|Flip it for light
SYMBOL|What stands for it
SYNTAX|How the sentence is built
SYSTEM|The whole works
TABLET|Pill, or a screen
TACKLE|Bring down, or fishing gear
TAILOR|Suit fitter
TAKING|Helping yourself to
TALENT|What the show hunts for
TALKED|Had a word
TAMPER|Meddle with
TANGLE|Knot of hair
TANKER|Oil ship
TARGET|What the arrow aims at
TARIFF|Import tax
TASSEL|Graduation cap dangler
TATTOO|Ink on the arm
TAUGHT|Passed on the lesson
TAVERN|Old-fashioned pub
TAXING|Really demanding
TEAPOT|Short and stout
TEASED|Ribbed gently
TEMPER|What you lose
TEMPLE|Place of worship
TENANT|The one who rents
TENDER|Gentle, or sore
TENNIS|Love means nothing here
TENTHS|Decimal places
TERROR|Absolute fear
THATCH|Straw roof
THEIRS|Belonging to them
THEORY|Not yet proved
THIRST|Water wanted
THIRTY|Half of sixty
THOUGH|Even so
THREAD|Needle's partner
THREAT|Menace
THRIFT|Careful with money
THRILL|Rollercoaster feeling
THRIVE|Do really well
THROAT|Where the sore is
THRONE|Royal seat
THROWN|Pitched
THRUST|Sharp push forward
THUMBS|Up or down
TICKET|Get in with it
TICKLE|Make them squirm and laugh
TIDIED|Put it all away
TIGERS|Striped big cats
TIMBER|Shout before the tree falls
TIMING|Comedy's secret
TINGLE|Pins and needles
TINSEL|Christmas tree glitter
TIRING|Wearing you out
TISSUE|What you reach for when you sneeze
TOASTS|Raises the glass
TOFFEE|Chewy caramel sweet
TOILET|Bathroom fixture
TOMATO|Salad red
TONGUE|Taster in the mouth
TOPICS|Subjects
TOSSED|Threw lightly, or salad-dressed
TOTALS|Adds up to
TOUCHY|Easily offended
TOURED|Went round the country
TOWARD|In the direction of
TOWELS|Beach or bath
TRACES|Faint marks left
TRACKS|Rails, or footprints
TRADER|One on the floor
TRAGIC|Ending badly
TRAILS|Hiking routes
TRAINS|Platform arrivals
TRAITS|Family characteristics
TRAMPS|Trudges
TRANCE|Hypnotized state
TRAVEL|Get about
TREATY|Signed peace deal
TREMOR|Small quake
TRENCH|Long dug channel
TRENDY|Very much of the moment
TRIALS|Court cases
TRIBAL|Of the clan
TRIBES|Ancient groups
TRICKS|Halloween's other option
TRIPLE|Three times over
TRIVIA|Pub quiz stuff
TROPHY|Cabinet silverware
TROUGH|Farm feeder
TRUCKS|Eighteen-wheelers
TRUDGE|Plod along wearily
TRYING|Making the effort
TUCKED|Neatly folded in
TUMBLE|Take a fall
TUNNEL|Under the mountain
TURKEY|Thanksgiving bird
TURNIP|Root vegetable
TWELVE|Dozen
TWENTY|Score
TWISTS|Plot surprises
TYCOON|Business magnate
TYPING|At the keyboard
UNABLE|Can't manage it
UNCLES|Aunts' husbands
UNDONE|Not finished, or come loose
UNEASY|A bit worried
UNEVEN|Bumpy
UNFAIR|Not right at all
UNFOLD|Open it out
UNIQUE|One of a kind
UNISON|All together now
UNITED|Brought together
UNLESS|Except if
UNLIKE|Not similar to
UNLOAD|Empty the van
UNLOCK|Turn the key
UNPACK|Empty the suitcase
UNREST|Trouble in the streets
UNTIDY|In need of a clear-up
UNUSED|Never touched
UNWIND|Put your feet up
UPDATE|Bring it current
UPHELD|Confirmed on appeal
UPHILL|The hard way
UPLIFT|Raise the spirits
UPROAR|A right commotion
UPSIDE|The good part
UPWARD|Toward the sky
URGENT|It cannot wait
USEFUL|Comes in handy
USHERS|They show you to your seat
UTMOST|The very best you can do
VACANT|No one home
VACUUM|Carpet cleaner, or empty space
VALLEY|Between the hills
VALUES|What you stand for
VALVES|Flow controllers
VANISH|Disappear
VAPORS|Rising mists
VARIED|Not all the same
VELVET|Soft plush fabric
VENDOR|Street seller
VENOMS|Snake poisons
VERBAL|In words
VERSES|Song sections
VESSEL|Ship, or a container
VICTIM|The one it happened to
VICTOR|The winner
VIEWER|One watching
VILLAS|Holiday houses
VIOLET|Shy flower, or a purple
VIOLIN|Bowed string instrument
VIRTUE|Patience, for one
VISION|Eyesight, or a big idea
VISUAL|To do with seeing
VOICES|Choir's instruments
VOLUME|How loud, or a book
VOTERS|Election deciders
VOYAGE|Long sea trip
WAFFLE|Breakfast grid, or waffle on
WAGONS|Circle them
WAITER|Order taker
WAKING|Coming to
WALKED|Went on foot
WALLET|Where the cash is
WALNUT|Brain-shaped nut
WANDER|Roam about
WARMER|Getting closer, in the game
WARMTH|What the fire gives
WARNED|Told what was coming
WARSAW|Poland's capital
WASHER|Laundry machine, or a little ring
WASTED|Thrown away
WATERS|Seas
WEAKEN|Sap the strength of
WEALTH|Serious money
WEAPON|What the crime was done with
WEASEL|Sneaky little animal
WEAVER|Loom worker
WEDDED|Married
WEDGES|Golf clubs, or lemon slices
WEEKLY|Every seven days
WEEVIL|Grain beetle
WEIGHT|What the scale reads
WHALES|Ocean giants
WHEELS|Four on a car
WHIMSY|Playful fancy
WHINED|Complained in a thin voice
WHISKY|Scotch
WHOLLY|Entirely
WICKED|Wonderfully bad
WIDELY|All over the place
WIDEST|Broadest of all
WIDOWS|Ones who lost a husband
WIGGLE|Little wriggle
WILLOW|Weeping tree
WINDOW|You look out of it
WINNER|First across the line
WINTER|Snow season
WIRING|What the electrician does
WISDOM|What the years bring
WISELY|With good judgment
WITHIN|Inside of
WIZARD|Robed spell caster
WONDER|Marvel at
WOODEN|Made of timber
WOOLEN|Like a winter jumper
WORKED|Put in the hours
WORKER|One on the job
WORSEN|Go downhill
WORTHY|Deserving
WRENCH|Nut turner
WRIGHT|Play's maker, in a compound
WRISTS|Where the watch goes
WRITER|Author
YACHTS|Marina fleet
YEARLY|Once every twelve months
YELLOW|Banana color
YOGURT|Cultured breakfast pot
YONDER|Over there
ZEALOT|True believer, fiercely
ZIPPER|Jacket closer
ZODIAC|Twelve signs
#
# ── 8 letters ──────────────────────────────────────────────────────────────
ABSOLUTE|With no qualification whatsoever
ABUNDANT|In plentiful supply
ACADEMIC|Of the university, or beside the point
ACCIDENT|Fender bender
ACCURATE|Right on the money
ACHIEVED|Pulled it off
ACOUSTIC|Unplugged, in music
ACTIVITY|Something going on
ADDITION|Plus, in arithmetic
ADJACENT|Right next door
ADJUSTED|Tweaked to fit
ADMIRING|Looking on with approval
ADOPTION|Taking a child as your own
ADVANCED|Beyond the beginner class
ADVISORY|Weather warning
AIRCRAFT|What the hangar holds
AIRFIELD|Small airport
AIRLINES|Carriers with fleets
ALLERGIC|Reacting badly to the peanuts
ALPHABET|Twenty-six letters
AMATEURS|Unpaid players
AMBITION|What drives the climber
ANALYSIS|Careful breakdown
ANCESTOR|Great-great-grandparent
ANNOUNCE|Say it out loud to everyone
ANNOYING|Like a dripping tap
ANTELOPE|Fast plains grazer
ANYPLACE|Wherever
ANYTHING|No matter what
APERTURE|Camera's opening
APPARENT|Plain to see
APPEARED|Showed up
APPETITE|What the smell of dinner sharpens
APPLAUSE|Clapping
APPROACH|Come nearer, or a method
APPROVAL|The nod from above
ARGUMENT|A row
ARMCHAIR|Comfy seat with sides
ARRESTED|Taken in
ARRIVALS|Airport board section
ARROGANT|Far too pleased with himself
ARTISTIC|With a good eye
ASSEMBLE|Put the flat pack together
ASSIGNED|Handed the job
ASSORTED|A mixed bag
ATHLETIC|Built for sport
ATLANTIC|Ocean off New York
ATTACHED|Fastened on, or fond
ATTACKED|Set upon
ATTENDED|Went to
ATTITUDE|Your take on things
ATTORNEY|Lawyer
AUCTIONS|Going, going, gone events
AUDIENCE|The people out front
AUTHORED|Wrote the book
AVERAGES|Means
AWAITING|Still expecting
AWAKENED|Roused
BACHELOR|Unmarried man
BACKBONE|Spine, or nerve
BACKFIRE|Go wrong on you
BACKPACK|Hiker's carry
BACKWARD|In reverse
BALLOONS|Party inflatables
BANDAGES|First aid wraps
BANISTER|Stair rail
BAREFOOT|Shoeless
BARGAINS|Sale finds
BASEBALL|Nine-inning game
BASEMENT|Below the ground floor
BATHROBE|After-shower wrap
BATHROOM|Where the tub is
BATTERED|Beaten about, or fried in a coating
BEAUTIFY|Make it pretty
BECOMING|Turning into, or flattering
BEDROOMS|House listing count
BEHAVIOR|How you conduct yourself
BILLIARD|Kind of table
BIRTHDAY|Cake and candles day
BLACKOUT|Whole grid goes down
BLANKETS|Bed covers
BLESSING|A stroke of luck
BLINKING|On and off
BLIZZARD|Whiteout storm
BLOCKADE|Ships sealing the port
BLOSSOMS|Cherry tree glory
BLUEBIRD|Songbird of happiness
BOARDING|Getting on the plane
BOATYARD|Where hulls are repaired
BOOKCASE|Shelves for the novels
BOOKMARK|It keeps your place
BOUNDARY|The far edge
BRACELET|Wrist jewelry
BREAKING|Latest news, on the ticker
BREATHED|Took the air in
BRIEFING|The rundown before the mission
BRISTLES|Brush hairs
BROADWAY|Where the shows are
BROCCOLI|Green tree-like vegetable
BROTHERS|Male siblings
BUILDING|Office block
BULLETIN|Short news item
BUOYANCY|What keeps it afloat
BURGLARY|Break-in
BUSINESS|Mind your own
BUTCHERS|Meat sellers
CABINETS|Kitchen cupboards
CALENDAR|Twelve pages on the wall
CAMPAIGN|The run for office
CAMPFIRE|Marshmallow toaster
CAPACITY|How much it holds
CAPTURED|Taken prisoner
CARNIVAL|Rides and candy floss
CAROUSEL|Merry-go-round, or the bag belt
CARRIAGE|Horse-drawn ride
CARTOONS|Saturday morning viewing
CASHIERS|Checkout staff
CATALOGS|Mail order books
CATCHING|Contagious
CAUTIOUS|Playing it safe
CEILINGS|Above your head
CEMETERY|Where the headstones are
CERAMICS|Pottery class output
CHAMPION|The one with the belt
CHANGING|Not staying the same
CHAPTERS|Book divisions
CHARCOAL|Barbecue fuel
CHARMING|Winning you over
CHECKERS|Board game of kings
CHEERFUL|In a bright mood
CHEMICAL|Lab bottle contents
CHERRIES|Bowl of life, supposedly
CHESTNUT|Roasting nut
CHICKENS|Coop residents
CHILDREN|Playground crowd
CHIMNEYS|Rooftop stacks
CIRCULAR|Round, or a flyer
CIVILIAN|Not in uniform
CLARINET|Woodwind with a reed
CLASSICS|The ones that last
CLEANING|Spring chore
CLEARING|Open patch in the woods
CLIMBING|Going up
CLINCHED|Sealed the deal
CLOSEOUT|Everything must go
CLOTHING|What you wear
COACHING|Running the team
COLLAPSE|Fall right in
COLLARED|Caught by the scruff
COLLECTS|Gathers the set
COLONIAL|Of the thirteen colonies
COLORFUL|Bright and varied
COMEBACK|Return from behind
COMEDIAN|The one with the mic
COMFORTS|Puts an arm round
COMMANDS|Orders
COMMERCE|Buying and selling
COMPARED|Put side by side
COMPLAIN|Send it back
COMPLETE|The whole set
COMPOSER|Symphony writer
COMPOUND|Walled group of buildings
COMPUTER|Desktop or laptop
CONCEDED|Admitted defeat
CONCEPTS|Big ideas
CONCERNS|Worries
CONCLUDE|Wrap it up
CONCRETE|Sidewalk stuff, or definite
CONFETTI|Wedding shower
CONFLICT|Clash
CONFUSED|Not following at all
CONGRESS|Capitol Hill body
CONQUEST|What the conqueror takes
CONSIDER|Think it over
CONSTANT|Never changing
CONSUMER|The one who buys
CONTAINS|Holds inside
CONTINUE|Carry on
CONTRACT|What you sign, or shrink
CONTRAST|The difference between them
CONVINCE|Talk them round
COOKBOOK|Recipes bound
CORRIDOR|Hallway
COSTUMES|Halloween wear
COTTAGES|Little country houses
COUNTERS|Kitchen surfaces
COUNTIES|Divisions of a state
COUNTING|One, two, three
COURTESY|Good manners
COVERAGE|What the reporters give it
CRACKERS|Cheese board partners
CRAFTING|Making by hand
CREATION|What was made
CREATIVE|Full of ideas
CREATURE|Living thing
CRIMINAL|Rap sheet holder
CRITICAL|Vital, or fault-finding
CROSSING|Where you go over
CRUMBLED|Fell to bits
CUPBOARD|Where the plates live
CURATORS|Museum staff
CURRENCY|Dollars and euros
CURTAINS|They open on the show
CUSTOMER|Always right
CYLINDER|Can shape
DAFFODIL|Yellow spring bloom
DAMAGING|Doing harm
DARKNESS|What the lights out brings
DAUGHTER|Son's sister
DAYLIGHT|What you burn
DEADLINE|When it is due
DEBATING|Arguing it out
DECEIVED|Taken in by the trick
DECISION|The call made
DECLARED|Stated for the record
DECORATE|Put up the trimmings
DEDICATE|Set aside for a purpose
DEFEATED|Beaten
DEFENDER|Back four member
DELICATE|Handle with care
DELIVERY|It arrives at the door
DEMANDED|Insisted on it
DEMOCRAT|One of the two US parties, memberwise
DEPARTED|Left, or the dead
DEPOSITS|Bank payments in
DESCRIBE|Say what it was like
DESERTED|Empty of people
DESERVED|Had it coming
DESIGNER|The one who drew it up
DESSERTS|Pudding course
DETAILED|Full of particulars
DETECTOR|Smoke alarm
DIABETES|Insulin condition
DIALOGUE|Talk between two
DIAMONDS|Card suit, or the girl's best friends
DICTATOR|Strongman ruler
DIFFERED|Was not the same
DILIGENT|Steadily hardworking
DINOSAUR|Museum skeleton
DIPLOMAT|Embassy smoother
DIRECTLY|Straight there
DISABLED|Switched off, or unable
DISAGREE|Beg to differ
DISASTER|Total calamity
DISCOUNT|Money off
DISCOVER|Find for the first time
DISGRACE|A right shame
DISGUISE|Wig and glasses
DISLIKED|Not much cared for
DISORDER|A mess, or an illness
DISPATCH|Send it off
DISPLAYS|Shop windows
DISPOSAL|At your beck and call, with "at your"
DISPUTES|Arguments
DISTANCE|How far
DISTINCT|Clearly separate
DISTRICT|Part of the city
DISTRUST|Not believe a word
DIVIDEND|Shareholder's payout
DIVISION|Splitting up, or an army unit
DOCTRINE|Set of beliefs taught
DOCUMENT|Paper on file
DOMINANT|Calling all the shots
DOORBELL|Ding-dong
DOORSTEP|Where the milk was left
DOUBLING|Twice as much again
DOWNHILL|The easy way, or the ski race
DOWNLOAD|Pull it off the internet
DOWNTOWN|The city center
DRAGGING|Hauling along
DRAMATIC|Very theatrical
DRAWINGS|Pencil work
DREADFUL|Really awful
DREAMING|Off in your sleep
DRESSING|Salad topper, or getting clothed
DRIFTING|Going with the current
DRINKING|At the fountain
DRIVEWAY|Where you park at home
DROPLETS|Little beads of water
DROUGHTS|Long dry spells
DRUMMERS|Ones keeping the beat
DURATION|How long it runs
DWELLING|Place of residence
EARNINGS|What the quarter brought in
EARRINGS|Lobe jewelry
EASTWARD|Toward the sunrise
ECONOMIC|Of money and markets
EDUCATED|Well schooled
EIGHTEEN|Voting age
ELECTION|Ballot day
ELECTRIC|Run off the mains
ELEGANCE|Understated style
ELEPHANT|Big-eared trumpeter
ELEVATOR|Ride to the tenth floor
EMBRACED|Hugged, or took on gladly
EMIGRANT|One who leaves the country
EMOTIONS|Feelings
EMPHASIS|Where the stress goes
EMPLOYEE|Staff member
EMPLOYER|The one who hires
ENDEAVOR|An earnest attempt
ENDORSED|Put a name behind it
ENGINEER|Bridge designer
ENGRAVED|Cut into the metal
ENHANCED|Made better
ENJOYING|Having a good time with
ENORMOUS|Absolutely huge
ENTRANCE|Way in
ENVELOPE|Stamp goes on it
EPIDEMIC|Sweeping outbreak
EQUALITY|Same rights for all
EQUATION|Both sides balance
EQUIPPED|Kitted out
ESCAPING|Getting away
ESTIMATE|The builder's number
ETERNITY|Forever
EVENINGS|After-dinner hours
EVERYDAY|Run of the mill
EVERYONE|All of us
EVIDENCE|What the case rests on
EXACTING|Demanding great care
EXAMINED|Looked over closely
EXAMPLES|For instances
EXCHANGE|Swap
EXCITING|Real edge-of-the-seat stuff
EXCUSING|Letting it go
EXERCISE|Trip to the gym
EXHIBITS|Museum pieces
EXPANDED|Grew bigger
EXPECTED|Anticipated
EXPENSES|What you claim back
EXPLAINS|Makes it clear
EXPLORER|One who maps new ground
EXPLODED|Went off with a bang
EXPOSURE|Time the shutter is open
EXTERNAL|On the outside
EXTREMES|The two far ends
EYEBROWS|Above the eyes
FABULOUS|Simply marvelous
FACILITY|Building for a purpose
FAIRNESS|Playing straight
FAITHFUL|True to it
FAMILIAR|You've seen it before
FAREWELL|Goodbye
FASTENED|Buckled up
FAVORITE|The one you like best
FEARLESS|Afraid of nothing
FEATURES|Face parts, or selling points
FEEDBACK|What the review gives
FESTIVAL|Weekend of music in a field
FIFTIETH|Golden anniversary
FIGHTING|Coming to blows
FIGURINE|Little mantel statue
FINISHED|All done
FIREWOOD|Logs for the hearth
FIREWORK|Fourth of July banger
FLAMINGO|Pink one-legged wader
FLASHING|Blinking on and off
FLATTERY|It gets you nowhere
