ABANDON|Leave behind
MISSILE|Guided rocket
MITTENS|Thumb-only gloves
MODESTY|Not blowing your own trumpet
MOISTEN|Dampen slightly
MOLDING|Trim round the ceiling
MONARCH|Crown wearer
MOTHERS|Moms
MOTIVES|What the detective looks for
MOVABLE|It can be shifted
MUFFINS|Blueberry bakes
MUFFLED|Sound-deadened
MUSCLES|What the gym builds
MUSEUMS|Where the exhibits are
MUSTANG|Wild western horse
NAPKINS|Lap cloths
NARRATE|Tell the story over it
NAUGHTY|Not behaving
NEGLECT|Let it go to ruin
NESTING|Building for the eggs
NETTING|Fine mesh
NEUTRON|Atom particle
NEWBORN|Just arrived
NIGHTLY|Every evening
NOMINEE|One put forward
NOODLES|Ramen strands
NOSTRIL|Nose's opening
NOTABLE|Worth remarking on
NOTICED|Took it in
NOURISH|Feed well
NOVELTY|Something new
NUCLEAR|Of the atom
NUGGETS|Gold finds
NUMBERS|One, two, three
NURSING|Ward work
OATMEAL|Porridge grain
OBEYING|Doing as told
OBJECTS|Things
OBLIGED|Had to
OBSCURE|Little known
OBSERVE|Watch closely
OBTAINS|Gets hold of
OFFENSE|The attacking side
OFFERED|Put forward
ONGOING|Still running
OPERATE|Run it
OPTICAL|Of the eye
OPTIMAL|The best possible
OPTIONS|Choices
ORDERLY|In good order
ORIGAMI|Paper folding art
ORIGINS|Where it started
OUTCOME|How it turned out
OUTFITS|Whole ensembles
OUTLETS|Where you plug in
OUTLINE|Sketch the shape
OUTLIVE|Survive longer than
OUTRAGE|Public fury
OVATION|Standing applause
OVERALL|All things considered
OVERDUE|Should have been back
PACKETS|Little parcels
PADDING|Soft filling
PADDOCK|Horse's field
PAINFUL|It hurts
PAJAMAS|Bedtime wear
PALACES|Where royalty lives
PALETTE|Painter's board
PANICKY|In a flap
PARABLE|Story with a moral
PARADOX|It contradicts itself
PARCELS|Post office packages
PARROTS|They repeat what you say
PARSLEY|Garnish herb
PARTIAL|Only in part
PARTIES|Celebrations
PARTING|Saying goodbye
PASSION|Burning feeling
PASSIVE|Not taking part
PATCHES|Mends on the knees
PATRIOT|Flag waver
PAYABLE|Owed now
PEACOCK|Fanned tail bird
PEASANT|Old-time farm worker
PEBBLES|Little smooth stones
PEDDLER|Door-to-door seller
PELICAN|Pouch-billed bird
PENALTY|Referee's award
PENDING|Still to be decided
PENSION|Retirement income
PERCENT|Out of a hundred
PERCHED|Sat on a branch
PERSIST|Keep at it
PHANTOM|Ghostly figure
PHYSICS|Study of matter and energy
PICKLED|Kept in brine
PICKLES|Deli spears
PIERCED|Made a hole through
PIGMENT|What gives paint its color
PILGRIM|One on a holy journey
PILLARS|Supporting columns
PINCHED|Nipped, or stole
PIRATES|Jolly Roger fliers
PITCHER|Mound man, or a jug
PLACING|Putting it down
PLAINLY|Clear as day
PLANNER|Diary
PLANTED|Put in the ground
PLASTER|Wall coating
PLAYERS|Ones on the team
PLAYFUL|Full of fun
PLEADED|Begged
PLIABLE|Bends easily
PLOTTED|Schemed
PLUCKED|Picked it off
PLUNGED|Dived in
POINTER|Hint, or a dog
POLLUTE|Foul it up
PORCHES|Front step covers
POSTERS|Wall prints
POSTURE|How you hold yourself
POUNDED|Hammered away
POURING|Tipping it out
POWERED|Given energy
PRAIRIE|Grassy plain
PREFERS|Likes better
PREMISE|What the argument rests on
PREMIUM|Insurance payment
PRESIDE|Chair the meeting
PRESUME|Take it as read
PREVAIL|Come out on top
PREVIEW|Sneak look
PRICING|Setting the cost
PRIESTS|Clergy members
PRINCES|Royal sons
PRINTED|Put on paper
PROCESS|The steps of it
PRODUCT|What is made
PROLONG|Drag it out
PROMPTS|Nudges
PRONOUN|He, she or it
PROPHET|Foreteller
PROPOSE|Put it forward
PROSPER|Do very well
PROTEST|March against it
PROVERB|Old wise saying
PRUDENT|Careful and wise
PULLING|Tugging
PUNCHED|Hit with the fist
PURSUED|Chased after
PURSUIT|The chase
PUSHING|Shoving
PUTTING|Placing, or on the green
QUALIFY|Get through the heats
QUARREL|Squabble
QUERIES|Questions
QUIETER|Less noisy
QUIETLY|Without a sound
QUILTED|Padded and stitched
QUIZZES|Short tests
QUOTING|Citing the words
RACCOON|Masked night raider
RADIANT|Absolutely glowing
RAFTERS|Roof beams
RAILING|Balcony's barrier
RAINING|Coming down
RAISING|Bringing up
RAMPAGE|On the
RANCHER|Cattle raiser
RANKING|Where you stand
RAPIDLY|Very quickly
RATIONS|Wartime allowance
RATTLED|Shook, or unnerved
RAVIOLI|Stuffed pasta
REACHED|Got there
REACHES|Gets as far as
REACTED|Responded
READERS|Ones with books
READILY|Without hesitation
REALISM|True to life
REALIZE|Come to see
REASONS|The whys
REBUILD|Put it up again
RECALLS|Brings to mind
RECITAL|Music school evening
RECLINE|Lean right back
RECOUNT|Tell it again
RECRUIT|New joiner
RECYCLE|Blue bin it
REDUCED|Brought down
REFEREE|Whistle blower
REFINED|Well polished
REFRAIN|Song's chorus, or hold back
REFUGEE|One who fled
REFUSAL|The no
REGARDS|Best wishes
REGIONS|Parts of the country
REGRETS|Wishes it hadn't been so
REJOICE|Celebrate
RELAPSE|Fall back into it
RELATES|Connects with
RELIANT|Depending on it
RELIEVE|Take the pressure off
REMARKS|Passing comments
REMINDS|Jogs the memory
REMNANT|Bit left over
RENEWAL|Signing up again
REPEATS|Says it again
REPLIED|Answered
REPLIES|Answers
REPORTS|Cards sent home
REPTILE|Lizard or snake
RESIDUE|What is left behind
RESOLVE|Sort it out
RESTFUL|Nice and peaceful
RESTORE|Bring it back
RETREAT|Fall back
REUNION|Class get-together
REVENGE|Getting your own back
REVENUE|What comes in
REVERSE|Back up
REVISED|Went over the draft
REVIVAL|Bringing it back
REVOLVE|Turn on the spot
REWRITE|Do it again
RHUBARB|Crumble stalk
RICHEST|Best off of all
RIGGING|Ship's ropes
RIGHTLY|Justly so
RINGING|Bell's sound
RIPPLES|Little water rings
RIVALRY|The needle between them
ROAMING|Wandering about
ROBOTIC|Stiff and mechanical
ROLLING|Going along
ROOFING|Tiles and felt
ROUGHLY|About
ROUNDED|Made curved
ROWBOAT|Oar-driven craft
ROYALTY|Kings and queens
RUBBING|Working it with a cloth
RUBBISH|Nonsense
RUNNERS|Marathon entrants
RUPTURE|Burst
RUSHING|In a hurry
SADDLES|Horse seats
SAFFRON|Costly yellow spice
SAILORS|Deck hands
SAMPLES|Free tastes
SANDBOX|Play area with grit
SAPLING|Young tree
SARDINE|Tinned little fish
SATCHEL|School bag
SAVANNA|Grassy African plain
SAWDUST|Workshop floor covering
SCALLOP|Fan shaped shellfish
SCANDAL|Front page shame
SCANNER|Barcode reader
SCARLET|Bright red
SCATTER|Throw about
SCENERY|The view
SCENTED|Perfumed
SCHOLAR|Learned one
SCOOTER|Push-along ride
SCORING|Racking up points
SCRAWNY|Very thin
SCREENS|What you watch on
SEAGULL|Beach scavenger
SEALANT|Gap filler
SEATING|Where everyone sits
SECRECY|Keeping it quiet
SECURED|Made fast
SEGMENT|Orange's part
SELFISH|Thinking only of yourself
SELLERS|Ones with the goods
SEMINAR|Small teaching group
SENATOR|Upper house member
SENDING|Posting it off
SEQUINS|Sparkly dress discs
SERPENT|Garden of Eden tempter
SERVANT|Downstairs staff
SERVING|Portion
SESSION|Sitting
SETTLED|Came to terms
SEVENTH|After sixth
SHACKLE|Prisoner's iron
SHADING|Pencil's darkening
SHADOWY|Full of dim shapes
SHAKING|Trembling
SHARPEN|Put an edge on
SHARPER|Keener
SHATTER|Break to pieces
SHAVING|At the razor
SHIELDS|Knights' guards
SHIFTED|Moved along
SHIMMER|Waver with light
SHINGLE|Roof tile, or beach stones
SHOCKED|Taken aback
SHORTEN|Cut it down
SHOUTED|Raised the voice
SHOVELS|Snow clearers
SHOWING|On display
SHRIVEL|Dry up and wrinkle
SHUFFLE|Mix the cards
SHUTTER|Camera's blink
SHUTTLE|Airport bus
SIBLING|Brother or sister
SIGNALS|Traffic lights
SIGNING|Putting your name to it
SILICON|Chip material
SIMILAR|Much the same
SINCERE|Really meaning it
SINGING|Carrying the tune
SINKING|Going down
SKILLED|Really good at it
SKIPPER|Ship's captain
SLACKEN|Loosen off
SLANTED|At an angle
SLEEPER|Overnight train
SLENDER|Nice and slim
SLICING|Cutting up
SLIDING|Going down the chute
SLIMMER|Thinner
SLIPPED|Lost the footing
SLOGANS|Advertising lines
SLOPING|On an angle
SLOWEST|Least quick of all
SLUMBER|Sleep
SMASHED|Broken to bits
SMILING|Grinning
SMOKING|On fire, or on a cigarette
SNAPPED|Broke with a crack
SNOWMAN|Carrot-nosed figure
SOAKING|Wet through
SOLIDLY|Firmly
SOLVENT|Able to pay the bills
SOMEHOW|In one way or another
SORCERY|Witchcraft
SORTING|Putting in order
SOURCES|Where it came from
SPACING|Gap between them
SPANIEL|Floppy-eared dog
SPATULA|Flipping tool
SPECIES|Kind of animal
SPECIFY|Say exactly which
SPELLED|Set out the letters
SPILLED|Knocked it over
SPIRALS|Staircase shapes
SPIRITS|Whisky and gin, or morale
SPOILED|Ruined, or indulged
SPOTTED|Saw it
SPRAYED|Misted it on
SPREADS|Butters
SPROUTS|Little cabbages
SQUEAKY|Needing oil
STABLES|Where the horses live
STACKED|Piled up
STAINED|Marked
STALLED|Engine died
STAMINA|Staying power
STAPLES|The basics
STARING|Looking far too long
STARTLE|Give a jump
STARVED|Went without food
STATING|Saying it outright
STATUTE|Law on the books
STEALTH|Moving unseen
STELLAR|Absolutely first rate
STENCIL|Cut-out pattern
STERILE|Free of germs
STICKER|Adhesive label
STIFFEN|Make rigid
STIRRUP|Rider's footrest
STOPPED|Came to a halt
STORING|Putting away
STRANDS|Hairs
STREAKS|Winning runs
STREAMS|Little creeks
STRIKER|Goal scorer
STRINGS|The violin section
STRIPED|In bands of color
STUBBLE|Day-old beard
STUFFED|Packed full
STUMBLE|Trip up
STUNNED|Left speechless
SUBLIME|Utterly wonderful
SUBSIDE|Die down
SUBURBS|The outskirts
SUCCEED|Pull it off
SUCTION|Vacuum pull
SUFFICE|Be enough
SUMMONS|Court's order to appear
SUNBEAM|Ray through the cloud
SUNBURN|Beach's red reminder
SUNDIAL|Shadow clock
SURGERY|The operation
SURNAME|Family name
SURPASS|Do even better
SURPLUS|What's left over
SUSPECT|The one they think did it
SUSPEND|Hang, or put on hold
SWEETEN|Add sugar
SWOLLEN|Puffed up
SYMBOLS|What they stand for
SYRINGE|Needle's barrel
TABLETS|Pills
TACKLED|Brought down
TACTICS|How you play it
TANGLED|Knotted up
TANTRUM|Toddler's fit
TARGETS|What you aim at
TARNISH|Silver's dulling
TASTING|Sampling
TEARFUL|In tears
TEASING|Ribbing gently
TEDIOUS|Dull as ditchwater
TELLERS|Bank window staff
TEMPEST|A right storm
TEMPLES|Places of worship
TERMITE|Wood-eating insect
TERRIER|Small feisty dog
TERRIFY|Scare stiff
TESTING|Trying it out
TEXTILE|Woven cloth
THANKED|Said ta
THICKEN|Make it denser
THICKET|Dense little wood
THIEVES|Takers
THIMBLE|Sewer's finger cap
THINKER|One who ponders
THINNER|Slimmer
THISTLE|Prickly Scottish emblem
TIGHTER|Snugger
TIMIDLY|Shyly
TOASTED|Browned under the grill
TOENAIL|Foot's clipping job
TOOLBOX|Where the spanners are
TOPICAL|Very much of the moment
TORMENT|Real agony
TOSSING|Throwing lightly
TOUCHED|Laid a hand on
TOUGHER|Harder going
TOURING|Going round the country
TOURISM|Travel trade
TRACING|Following the line
TRACKED|Followed the trail
TRADING|Buying and selling
TRAINED|Got in shape
TRAITOR|One who sold out
TRAMPLE|Underfoot
TRANSIT|In
TRAPPED|Caught with no way out
TRAWLER|Fishing boat
TRIBUTE|Words said in honor
TRICKED|Fooled
TRICKLE|Slow drip
TRIGGER|What you pull
TRIMMED|Cut back
TRINKET|Little ornament
TRIPLET|One of three born
TROLLEY|Shopping cart
TROOPER|State highway officer
TROPICS|The hot latitudes
TRUFFLE|Prized fungus
TRUSTED|Believed in
TURBINE|Wind farm spinner
TURMOIL|Utter confusion
TURNING|Where you go off the road
TURTLES|Shelled swimmers
TWISTER|Tornado
UNAWARE|Hasn't a clue
UNCANNY|Eerily accurate
UNCLEAR|Hard to make out
UNCOVER|Take the lid off
UNDERGO|Go through
UNEARTH|Dig it up
UNEQUAL|Not the same
UNHAPPY|Not pleased
UNLEASH|Let it loose
UNLUCKY|Thirteen, they say
UNPAVED|Not surfaced
UPRIGHT|Straight up and down
UPWARDS|Toward the sky
URGENCY|The rush of it
USELESS|No good at all
UTILITY|Gas or water company
UTTERLY|Completely
VAGUELY|Not clearly
VALIANT|Bravely determined
VALLEYS|Between the hills
VARIANT|Slightly different version
VARIOUS|Several different
VARNISH|Wood's shine
VAULTED|Leapt over, or arched
VENTURE|Chance it
VERANDA|Porch
VERDICT|The jury's word
VERTIGO|Fear of heights
VESSELS|Ships
VIBRANT|Full of life
VIBRATE|Buzz
VICIOUS|Really nasty
VICTORY|The win
VIEWERS|Ones watching
VILLAIN|The bad one
VIOLATE|Break the rule
VIRTUAL|Almost, or on screen
VISITED|Dropped in on
VOLTAGE|Electrical force
VOUCHER|Money-off slip
WAFFLES|Breakfast grids
WAITERS|Order takers
WALNUTS|Brain-shaped nuts
WANDERS|Roams about
WANTING|Falling short
WARFARE|Waging war
WARMEST|Cosiest of all
WARRANT|Judge's paper
WATCHED|Kept an eye on
WATERED|Gave the plants a drink
WATTAGE|Power rating
WEAKEST|Least strong
WEARING|Having on
WEAVING|At the loom
WEBSITE|What the URL opens
WEEPING|In tears
WEIGHED|Put on the scales
WEIGHTY|Heavy
WELFARE|The state's help
WETLAND|Marshy ground
WHIMPER|Little whine
WHIPPED|Cream's treatment
WHOEVER|No matter who
WIDENED|Made broader
WILDEST|Most untamed
WINDING|Twisting along
WINNING|Out in front
WISHFUL|Thinking
WITHOUT|Lacking
WORKOUT|Gym session
WORRIES|Frets
WORSHIP|Sunday devotion
WOUNDED|Injured
WRAPPER|Sweet's cover
WRECKED|Ruined
WRESTLE|Grapple with
WRINKLE|Crease in the shirt
WRITTEN|Set down on paper
WRONGLY|In error
YAWNING|Wide open, or sleepy
YIELDED|Gave way
YOUNGER|Fewer years on them
ZEALOUS|Very keen
ZIPPERS|Jacket closers
ZOOLOGY|Study of animals
ABBEY|Monks' home
ABIDE|Put up with
ACORN|Oak's seed
ACUTE|Sharp, of an angle
ADAPT|Adjust to fit
ADEPT|Really good at it
ADORE|Love dearly
AFTER|Following
AGAIN|One more time
AGILE|Quick on the feet
AGONY|Great pain
AISLE|Between the pews
ALIEN|From another world
ALIGN|Line it up
ALLOY|Metal mixture
AMAZE|Astonish
AMEND|Change the wording
AMPLE|More than enough
AMUSE|Entertain
ANNOY|Get on the nerves of
ANVIL|Blacksmith's block
APART|Separated
APPLY|Put in for the job
ARMOR|Knight's suit
ARRAY|Whole display of them
ASSET|Something worth having
AUDIT|Books check
AVAIL|Be of use
AWAKE|Not sleeping
AWFUL|Terrible
BADLY|Not well
BALMY|Pleasantly warm
BANJO|Bluegrass string
BARGE|Canal boat
BARON|Titled man
BASIN|Bathroom bowl
BASIS|Foundation
BATCH|Cookies made at once
BATON|Relay stick
BEADS|Necklace bits
BEAST|Wild animal
BEGUN|Started
BEING|Existing
BELLY|Tummy
BERTH|Ship's bed
BIRDS|Feathered fliers
BLAZE|Roaring fire
BLEAK|Grim and bare
BLESS|Say it after a sneeze
BLIMP|Airship
BLISS|Perfect happiness
BLOOD|What runs in the veins
BLOWN|Puffed away
BLUFF|Poker pretense
BLUNT|Not sharp
BLURB|Short jacket note
BLUSH|Go red
BOAST|Brag
BOGUS|Phony
BOOTS|Wellies
BORED|Uninterested
BOUGH|Tree limb
BOXER|Ring fighter, or a dog
BRACE|Support, or a pair
BRAID|Plait
BRAWL|Pub fight
BREED|Kind of dog
BRIBE|Money under the table
BRINE|Salt water
BRINK|The very edge
BROIL|Cook under the flame
BROTH|Thin soup
BUDDY|Pal
BUGGY|Baby carriage
BUGLE|Army horn
BULGE|Swelling
BULKY|Awkwardly big
BUNNY|Cottontail
BUYER|The one purchasing
CACHE|Hidden store
CADET|Trainee officer
CAMEL|Desert humps
CAMEO|Small role
CANAL|Man-made waterway
CAPER|Prank, or a pickled bud
CAROL|Christmas song
CARVE|Cut the turkey
CATER|Supply the food
CEDAR|Fragrant wood
CHAOS|Total disorder
CHEEK|Face's side
CHEWY|Like toffee
CHIEF|The boss
CHIME|Bell's ring
CHIPS|Crunchy snacks
CHOKE|Can't breathe
CHORD|Three notes at once
CHORE|Household task
CHUNK|Big piece
CHURN|Butter maker
CIGAR|Havana's export
CINCH|Dead easy
CIVIL|Polite, or non-military
CLAMP|Workbench gripper
CLANG|Metal's sound
CLASH|Come into conflict
CLASP|Necklace fastener
CLERK|Office worker
CLICK|Mouse sound
CLING|Hold on tight
CLOAK|Cape
CLONE|Exact copy
CLOVE|Baking spice bud
CLOWN|Circus face
CLUMP|Small tight group
COBRA|Hooded snake
COCOA|Hot chocolate
COMET|Tailed sky visitor
COMIC|Funny one
CORAL|Reef builder
COVET|Want what they have
CRANK|Handle to turn
CRATE|Wooden box
CRAVE|Really want
CRAZE|The latest thing
CREED|What you believe
CREEK|Small stream
CREEP|Move slowly and quietly
CREPT|Moved quietly
CREST|Wave's top
CRIED|Wept
CRIME|Police matter
CROAK|Frog sound
CROOK|Bent staff, or a thief
CRUEL|Unkind
CRUMB|Bread bit
CRUSH|Squash
CUBIC|Of three dimensions
CURLY|Not straight, of hair
CURRY|Spicy dish
CURSE|Bad word, or a hex
CYNIC|Doubter of motives
DAISY|White petals, yellow center
DANDY|Just fine
DEBUT|First appearance
DECAL|Stick on design
DECAY|Rot
DECOR|Room's look
DECOY|Fake to draw them off
DEFER|Put off
DELVE|Dig into a subject
DEMON|Evil spirit
DENIM|Jeans fabric
DENSE|Thick
DEPOT|Bus station
DERBY|Local rivalry match
DETER|Put them off
DEVIL|The other fellow
DIGIT|Number, or a finger
DIMLY|Faintly
DINER|Roadside eatery
DINGY|Drab and dark
DIRTY|Needing a wash
DISCO|Seventies dance floor
DRAPE|Hang it over
DRAWL|Slow speech
DRAWN|Sketched
DREAD|Fear the worst
DRIED|No longer wet
DROOL|Slobber
DROOP|Sag
DRUNK|Had too many
DRYER|Laundry machine
DUCKS|Pond birds
DUMMY|Store mannequin
DUNES|Sand hills
DUSTY|Needing a clean
DWARF|Small one of seven
DWELL|Live at
EAGER|Really keen
EASEL|Painter's stand
EATEN|Consumed
EBONY|Black wood
EDGES|Rims
EDICT|Ruler's order
EERIE|Spooky
EJECT|Throw out
ELDER|Older one
ELECT|Vote in
ELITE|The top few
ELOPE|Run off to marry
EMAIL|Digital message
EMBER|Glowing coal
ENACT|Put into law
ENEMY|The other side
ENSUE|Follow on
ENTRY|Way in
EPOCH|Long era
EQUIP|Kit out
ERECT|Upright
ERROR|Mistake
ESSAY|School composition
ETHIC|Work
EVADE|Slip away from
EVICT|Force out of a home
EVOKE|Call to mind
EXALT|Raise up high
EXCEL|Do it better than anyone
EXERT|Put in the effort
EXILE|Sent away for good
EXPEL|Throw out
FABLE|Aesop's tale
FACET|One side of the gem
FAINT|Pass out
FAIRY|Tooth collector
FARCE|Absolute joke
FATAL|Deadly
FATTY|Greasy
FAUNA|Animals of a region
FELON|Serious offender
FERAL|Gone wild
FETCH|Go and get
FIBER|Roughage
FIERY|Blazing
FIFTY|Half a hundred
FILTH|Real muck
FINCH|Small seed-eating bird
FISHY|Suspicious
FIXED|Repaired
FLAIR|Natural knack
FLAKE|Snow bit
FLANK|Side
FLARE|Distress signal
FLASK|Hip container
FLESH|Skin and muscle
FLICK|Quick snap of the finger
FLING|Toss, or a brief romance
FLINT|Spark stone
FLIRT|Make eyes at
FLOSS|Dental thread
FLUFF|Soft down
FLUID|Liquid
FLUNG|Hurled
FLUSH|Poker hand, or go red
FOAMY|Frothy
FOCAL|Central
FOGGY|Hard to see through
FOLLY|Foolishness
FORGE|Blacksmith's fire
FORUM|Place to debate
FOYER|Entrance hall
FRAIL|Weak and delicate
FRANK|Straight-talking
FRAUD|Con
FREED|Let go
FRIED|Cooked in oil
FROTH|Cappuccino's top
FROWN|Smile's opposite
FUDGE|Chocolate square
FUNGI|Mushrooms and molds
FUSSY|Hard to please
GAUGE|Measure it
GAUNT|Thin and hollow-cheeked
GAVEL|Judge's hammer
GECKO|Wall climbing lizard
GENIE|Lamp dweller
GENRE|Type of book
GIDDY|Light-headed
GLADE|Woodland clearing
GLAND|Body's secretor
GLARE|Harsh light, or a hard look
GLAZE|Doughnut's shine
GLEAM|Shine faintly
GLEAN|Gather bit by bit
GLIDE|Move smoothly
GLINT|Brief flash
GLOAT|Crow over a win
GLOOM|Darkness and low spirits
GLOSS|Shine
GLOVE|Hand wear
GNOME|Garden figure
GOALS|Aims
GOING|On the way
GORGE|Steep valley
GOURD|Pumpkin's kin
GRAPH|Chart with axes
GRATE|Fireplace bars
GRAVE|Serious, or a burial plot
GRAZE|Cattle's meal
GREED|Wanting too much
GRIEF|Deep sorrow
GRIME|Ingrained dirt
GRIMY|Filthy
GRIND|Wear down
GRIPE|Complaint
GROAN|Sound of pain
GROOM|Wedding's other star
GROVE|Small wood
GROWL|Dog's warning
GROWN|Fully grown
GRUFF|Rough of voice
GRUNT|Pig's sound
GUILT|What the verdict found
GULCH|Narrow rocky valley
GULLY|Water-cut channel
GUMBO|Creole stew
GUSTO|Real enthusiasm
GUSTY|Blustery
HAIRY|Shaggy
HALVE|Cut in two
HANDY|Useful
HARDY|Able to withstand cold
HAUNT|Regular spot, or spook
HAVEN|Safe place
HAVOC|Cry
HEARD|Listened to
HEAVE|Big lift
HEFTY|Substantial
HEIST|Big robbery
HELIX|Spiral shape
HERBS|Basil and thyme
HERON|Long-legged wader
HILLY|Full of slopes
HINGE|Door swiveler
HIPPO|River horse
HITCH|Snag, or a knot
HOARD|Squirrel it away
HOBBY|Spare time pursuit
HOIST|Haul up
HOLLY|Christmas green
HONEY|Bee's product
HONOR|Do the right thing by
HORDE|Great mass of them
HOUND|Tracking dog
HOVER|Hang in the air
HUNCH|Gut feeling
HUSKY|Sled dog, or hoarse
HYENA|Laughing scavenger
ICING|Cake's top
IDIOM|Turn of phrase
IGLOO|Snow house
IMPLY|Hint at
INBOX|Where the mail lands
INCUR|Bring upon yourself
INEPT|Hopeless at it
INERT|Not reacting
INFER|Read between the lines
INLET|Small bay
IRATE|Absolutely furious
IRONY|The opposite of what's said
ISLET|Tiny bit of land in water
ITEMS|Things on a list
JOKER|Wild card
JOUST|Knights' contest
JUICY|Full of liquid
JUMBO|Extra large
JUMPY|On edge
JUROR|Panel member at a trial
KARMA|What goes around
KAYAK|Paddled one-seater
KHAKI|Tan cloth
KIOSK|Small booth
KNACK|Special skill
KNEAD|Work the dough
KNEEL|Go down on one knee
KNELT|Went down on one knee
KOALA|Eucalyptus muncher
LAPSE|Slip
LARVA|Grub stage
LASSO|Cowboy's rope
LATCH|Gate fastener
LATHE|Wood turning machine
LEAFY|Full of green
LEAKY|Dripping
LEAPT|Jumped
LEDGE|Narrow shelf
LEECH|Blood-sucking worm
LEGAL|Within the law
LEVER|Pry bar
LIBEL|Printed defamation
LILAC|Fragrant purple bloom
LIMBO|Under the bar
LINER|Ocean ship
LINGO|Special jargon
LIVID|Absolutely furious
LLAMA|Andean pack animal
LOFTY|Very high up
LOTUS|Water flower
LOUSY|Terrible
LOVER|Sweetheart
LUCID|Perfectly clear
LUMPY|Full of bumps
LUNAR|Of the moon
LUNGE|Sudden thrust forward
LURID|Shockingly vivid
LYRIC|Line of a song
MACAW|Bright parrot
MADAM|Polite address to a lady
MAIZE|Corn
MANIA|Craze
MANOR|Country house
MARRY|Tie the knot
MASON|Bricklayer
MERGE|Come together
MERRY|Cheerful
MESSY|Untidy
MIMIC|Copy them exactly
MINCE|Chop very fine
MIRTH|Laughter
MISER|Tight-fisted one
MISTY|Hazy
MOCHA|Coffee with chocolate
MOLAR|Back tooth
MOLDY|Covered in fuzz
MOODY|Up and down
MOOSE|Antlered giant
MORAL|Story's lesson
MORPH|Change shape
MOSSY|Green and velvety
MOTEL|Roadside stop
MOTIF|Repeated design
MOTTO|Guiding phrase
MOUND|Small hill
MOURN|Grieve
MOWER|Lawn cutter
MUDDY|Boots after the field
MULCH|Garden bed covering
MUMMY|Wrapped pharaoh
MUNCH|Chew noisily
MURAL|Wall painting
MURKY|Hard to see through
MUSHY|Soft and pulpy
MUSTY|Smelling of the attic
NACHO|Cheesy chip
NAIVE|Innocent
NANNY|Child's minder
NASAL|Through the nose
NASTY|Really unpleasant
NAVAL|Of the fleet
NEEDY|Wanting attention
NEIGH|Horse's cry
NERVE|Cheek, or a body fiber
NEWLY|Just recently
NICHE|Little alcove
NIECE|Brother's daughter
NINTH|After eighth
NOISY|Loud
NOMAD|Wanderer
NOOSE|Slip knot loop
NOTCH|Small cut
NUDGE|Gentle poke
NUTTY|A little odd
NYLON|Stocking material
OASIS|Desert water
OBESE|Very overweight
OCCUR|Happen
ODDLY|Strangely
OLIVE|Martini garnish
OMEGA|Greek's last
ONSET|The very start
OPERA|Sung drama
OPTIC|Of vision
OUNCE|Sixteenth of a pound
OVERT|Done in the open
OXIDE|Rust compound
OZONE|Upper atmosphere layer
PAGAN|Pre-Christian believer
PANDA|Bamboo eater
PANSY|Garden face flower
PANTS|Trousers
PARKA|Hooded coat
PASTE|Glue
PATIO|Back terrace
PATTY|Burger disc
PECAN|Pie nut
PEONY|Big fluffy bloom
PERIL|Great danger
PERKY|Chipper
PESKY|Bothersome
PESTO|Basil sauce
PETAL|Flower's leaf
PETTY|Small-minded
PHASE|Stage of it
PHONY|Fake
PINCH|Salt's measure
PIOUS|Devoutly religious
PIVOT|Turn on the spot
PIXEL|Screen dot
PLAID|Tartan
PLANK|Board
PLEAD|Beg
PLEAT|Skirt's fold
PLUCK|Pick, or nerve
PLUME|Feather
PLUMP|Nicely round
PLUSH|Luxurious
POACH|Cook in liquid, or take illegally
POKER|Card game with bluffing
POLKA|Bouncy dance
POPPY|Red field flower
POSSE|Sheriff's group
POUCH|Kangaroo's pocket
PRANK|Practical joke
PRAWN|Big shrimp
PREEN|Groom the feathers
PRIME|First rate
PRISM|Light splitter
PROBE|Investigate
PRONE|Face down, or liable to
PRONG|Fork's point
PROSE|Not verse
PROXY|Stand in
PRUNE|Cut back, or a dried plum
PSALM|Sacred song
PUFFY|Swollen up
PUPPY|Young dog
PUREE|Blended smooth
PURGE|Clear it out
PUTTY|Window sealing paste
QUACK|Duck's word
QUAIL|Game bird
QUAKE|Earth's shudder
QUART|Two pints
QUEUE|Line up
QUIRK|Odd little habit
QUOTA|Allotted share
QUOTE|Cite the words
RACER|Speedy competitor
RAINY|Wet, of a day
RALLY|Come back, or a gathering
RAMEN|Noodle soup
RAVEN|Glossy black bird
RAZOR|Shaver
REACT|Respond
RECAP|Sum it up again
REGAL|Fit for a king
REHAB|Recovery program
REIGN|Rule
RELAY|Baton race
RENEW|Extend, as a lease
REPEL|Drive back
RESET|Start over
RESIN|Tree's sticky sap
RETRO|Old fashioned on purpose
REVEL|Make merry
RIFLE|Long gun
RIGID|Won't bend
RINSE|Wash off
RIPEN|Come good on the vine
RISKY|Chancy
RIVET|Metal fastening pin
ROACH|Kitchen pest
ROGUE|Scoundrel
ROOMY|Plenty of space
ROOST|Where the hens sleep
ROTOR|Helicopter's blades
ROUSE|Wake them up
ROWDY|Boisterous
RUDDY|Reddish in the face
RUGBY|Oval-ball sport
RUINS|Ancient remains
RULER|Measuring stick
RUMOR|Word going round
RUNNY|Watery
RUSTY|Out of practice
SADLY|Unhappily
SAINT|Halo wearer
SALSA|Chip's dip
SALTY|Like the sea
SASSY|Cheeky
SATIN|Glossy fabric
SAUNA|Hot wooden room
SAVOR|Take your time over
SAVVY|Street smart
